year,CO2_ppm,CH4_ppb,N2O_ppb,SF6_ppt,O3_DU,AGGI
1979,336.84,1577.6,300.9,0.75,225,0.787
1980,338.76,1594.7,301.1,0.85,203,0.81
1981,340.12,1611.9,302,0.96,209.5,0.827
1982,341.48,1629.2,303.2,1.06,185,0.842
1983,343.15,1636.9,303.7,1.19,172.9,0.861
1984,344.87,1644.7,304.7,1.31,163.6,0.879
1985,346.35,1657.2,305.3,1.46,146.5,0.898
1986,347.61,1670.1,306.4,1.61,157.8,0.917
1987,349.31,1682.7,306.1,1.78,123,0.937
1988,351.69,1693.2,306.7,1.95,171,0.963
1989,353.2,1704.5,307.9,2.14,127,0.984
1990,354.45,1714.4,308.7,2.33,124.2,1
1991,355.7,1724.9,309.3,2.54,119,1.016
1992,356.54,1735.5,309.9,1.46,114.3,1.027
1993,357.21,1736.5,310.2,1.61,112.6,1.034
1994,358.96,1742,310.9,1.78,92.3,1.048
1995,360.97,1748.8,311.1,3.46,108.8,1.063
1996,362.74,1751.5,311.9,3.7,108.8,1.077
1997,363.88,1754.5,312.9,3.97,98.8,1.087
1998,366.84,1765.5,313.5,4.2,102.9,1.108
1999,368.54,1772.4,314.4,4.38,98.7,1.125
2000,369.71,1773.4,315.6,4.58,100.9,1.135
2001,371.32,1771.2,316.3,4.78,157.4,1.146
2002,373.45,1772.7,317,4.99,108.7,1.161
2003,375.98,1777.3,317.6,5.23,123.5,1.179
2004,377.7,1777,318.2,5.46,113.8,1.192
2005,379.98,1774.1,319,5.68,98.4,1.205
2006,382.09,1775,319.9,5.91,116.2,1.22
2007,384.02,1781.4,320.6,6.19,114,1.234
2008,385.83,1787.1,321.5,6.48,107.9,1.25
2009,387.64,1793.6,322.2,6.76,128.5,1.262
2010,390.1,1798.9,323,7.05,106.5,1.278
2011,391.85,1803.1,324.2,7.32,139.3,1.293
2012,394.06,1808.1,325,7.61,132.7,1.307
2013,396.74,1813.4,325.9,7.93,128.6,1.326
2014,398.81,1822.6,327.1,8.26,117.2,1.342
2015,401.01,1834.3,328.1,8.6,123.2,1.359
2016,404.41,1843.2,328.9,8.92,141.8,1.383
2017,406.76,1849.6,329.7,9.27,111.8,1.398
2018,408.72,1857.3,330.9,9.62,167,1.416
2019,411.66,1866.6,331.9,9.96,102.6,1.433
2020,414.24,1879,333.1,10.28,103.3,1.451
2021,416.45,1895.2,334.3,10.66,112.5,1.469
2022,418.57,1911.8,335.7,11.05,,1.487
